absolute_time,edges_covered,crashing_edges_covered
1669263351.503159,132,0
1669263351.5063481,132,134
1669263351.5091689,132,141
1669263351.7317429,132,148
1669263351.735521,132,152
1669263351.815104,132,153
1669263351.846498,132,154
1669263351.84987,132,155
1669263351.861875,132,157
1669263353.158817,140,157
1669263354.149108,141,157
1669263354.508943,141,164
1669263355.32017,142,164
1669263355.3452458,142,168
1669263355.4574962,142,172
1669263357.2246668,143,172
1669263358.176477,143,175
1669263359.826999,143,176
1669263360.623156,145,176
1669263363.6788769,156,176
1669263364.2987561,156,180
1669263365.6515741,156,184
1669263366.821019,156,186
1669263368.2180648,156,186
